mature_mirna_id,target_symbol,databases,n_evidence,known_fibrosis_family
hsa-miR-6817-3p,THBS2,mirtarbase,2,NA
hsa-miR-6818-3p,THBS2,mirtarbase,2,NA
hsa-miR-6819-5p,THBS2,mirtarbase,2,NA
hsa-miR-6824-3p,THBS2,mirtarbase,2,NA
hsa-miR-6825-5p,THY1,mirtarbase,2,NA
hsa-miR-6826-3p,THBS2,mirtarbase,2,NA
hsa-miR-6829-3p,THY1,mirtarbase,2,NA
hsa-miR-6833-3p,THBS2,mirtarbase,2,NA
hsa-miR-6836-3p,THY1,mirtarbase,2,NA
hsa-miR-6839-5p,THBS2,mirtarbase,2,NA
hsa-miR-6844,THBS2,mirtarbase,2,NA
hsa-miR-6845-3p,THBS2,mirtarbase,2,NA
hsa-miR-6845-5p,THBS2,mirtarbase,2,NA
hsa-miR-6855-5p,THBS2,mirtarbase,2,NA
hsa-miR-6873-3p,THBS2,mirtarbase,2,NA
hsa-miR-6893-5p,THY1,mirtarbase,1,NA
hsa-miR-6895-3p,THBS2,mirtarbase,2,NA
hsa-miR-7-5p,LUM,tarbase,1,NA
hsa-miR-7-5p,THBS2,tarbase,1,NA
hsa-miR-7-5p,THY1,tarbase,1,NA
hsa-miR-7106-5p,THY1,mirtarbase,2,NA
hsa-miR-744-5p,THBS2,mirtarbase,2,NA
hsa-miR-766-5p,THY1,mirtarbase;tarbase,3,NA
hsa-miR-7853-5p,THBS2,mirtarbase,2,NA
hsa-miR-9-5p,LUM,tarbase,1,NA
hsa-miR-9-5p,THBS2,mirtarbase,1,NA
hsa-miR-92a-3p,THBS2,tarbase,1,NA
hsa-miR-92b-3p,THBS2,tarbase,1,NA
hsa-miR-93-5p,THBS2,tarbase,1,NA
hsa-miR-93-5p,THY1,tarbase,1,NA
hsa-miR-938,THBS2,mirtarbase,2,NA
hsa-miR-939-5p,THBS2,mirtarbase,2,NA
hsa-miR-940,THY1,mirtarbase,1,NA
hsa-miR-941,THBS2,tarbase,1,NA
hsa-miR-98-5p,LUM,tarbase,1,NA
hsa-miR-98-5p,THBS2,tarbase,1,NA
hsa-miR-98-5p,THY1,tarbase,1,NA
hsa-miR-9903,THBS2,tarbase,1,NA
