"TF","mean_activity_cirrhotic","mean_activity_healthy","activity_diff","pvalue","padj","regulates","regulates_fibrogenic_gene"
"SP3",0.493179579035688,-1.76839972688561,2.2615793059213,0.150793650793651,0.538811459543167,NA,FALSE
"SPI1",0.179241992006567,-1.99234258508123,2.1715845770878,0.150793650793651,0.538811459543167,NA,FALSE
"STAT2",-0.0103799929998744,-0.956852671570396,0.946472678570521,0.150793650793651,0.538811459543167,NA,FALSE
"STAT3",0.804068629551605,-1.71433417738289,2.5184028069345,0.150793650793651,0.538811459543167,NA,FALSE
"STAT6",0.493469876377039,-1.17441551154289,1.66788538791993,0.150793650793651,0.538811459543167,NA,FALSE
"TBP",-0.12554916666872,-1.16026566126038,1.03471649459166,0.150793650793651,0.538811459543167,NA,FALSE
"TFAP4",0.394073916482115,-1.27041259254145,1.66448650902357,0.150793650793651,0.538811459543167,NA,FALSE
"TP53",0.774756560977982,-1.83820599893008,2.61296255990806,0.150793650793651,0.538811459543167,"LUM(1)",TRUE
"ZBED1",0.627423482118082,-1.11620213026267,1.74362561238075,0.150793650793651,0.538811459543167,NA,FALSE
"ZFPM1",-0.47872121950485,0.547822451083072,-1.02654367058792,0.150793650793651,0.538811459543167,NA,FALSE
"ZNF91",0.233631414900004,-0.878952491451313,1.11258390635132,0.150793650793651,0.538811459543167,NA,FALSE
"ARID1A",-0.502864033098814,0.559924938911976,-1.06278897201079,0.222222222222222,0.608515057113188,NA,FALSE
"ARX",-1.13040318163861,-0.12877829662813,-1.00162488501048,0.222222222222222,0.608515057113188,NA,FALSE
"BCL6",0.787857357120739,-0.410179934839872,1.19803729196061,0.222222222222222,0.608515057113188,NA,FALSE
"CEBPB",0.118038521582901,-1.31033631688617,1.42837483846907,0.222222222222222,0.608515057113188,NA,FALSE
"E2F6",-0.608634291424934,0.721773675295641,-1.33040796672057,0.222222222222222,0.608515057113188,NA,FALSE
"ESR1",0.014421107267055,-1.01142905826701,1.02585016553406,0.222222222222222,0.608515057113188,"THBS2(1)",TRUE
"ETV1",0.424515296373953,-0.676412237751082,1.10092753412503,0.222222222222222,0.608515057113188,NA,FALSE
"FOSL1",-0.104121524149904,-0.795611980191882,0.691490456041978,0.222222222222222,0.608515057113188,"THBS2(-1)",TRUE
"HAND2",0.309344332358173,-0.847887446115823,1.157231778474,0.222222222222222,0.608515057113188,NA,FALSE
"HDAC7",0.713859007131392,-0.937531600948997,1.65139060808039,0.222222222222222,0.608515057113188,NA,FALSE
"HNF1B",0.857982414937249,-0.672017193336559,1.52999960827381,0.222222222222222,0.608515057113188,NA,FALSE
"HNF4A",1.11034964934505,-1.40131802817072,2.51166767751577,0.222222222222222,0.608515057113188,NA,FALSE
"HOXA7",0.2193010624163,-0.686062633404847,0.905363695821146,0.222222222222222,0.608515057113188,NA,FALSE
"IRF8",-0.619345719248044,0.154073995705667,-0.773419714953711,0.222222222222222,0.608515057113188,NA,FALSE
"KLF6",0.561905079311654,-0.664388741524281,1.22629382083594,0.222222222222222,0.608515057113188,NA,FALSE
"MAFG",-0.467332754707197,0.0968119597277656,-0.564144714434963,0.222222222222222,0.608515057113188,NA,FALSE
"MEF2C",-0.205400824794636,0.572262210038504,-0.777663034833139,0.222222222222222,0.608515057113188,NA,FALSE
"NCOR2",0.158786195413053,-0.366918469145575,0.525704664558628,0.222222222222222,0.608515057113188,NA,FALSE
"NFE2",0.375352342132005,-0.497429899887666,0.87278224201967,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB1",0.108889558109138,-2.85013856788621,2.95902812599535,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB1_NFKB2",-0.0394897565527567,-2.44039683368937,2.40090707713661,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB1_REL",-0.0394897565527567,-2.44039683368937,2.40090707713661,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB1_RELA",-0.0394897565527567,-2.44039683368937,2.40090707713661,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB1_RELB",-0.0394897565527567,-2.44039683368937,2.40090707713661,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB2",-0.0977151327128065,-2.58613990606397,2.48842477335116,0.222222222222222,0.608515057113188,NA,FALSE
"NFKB2_REL",-0.0394897565527567,-2.44039683368937,2.40090707713661,0.222222222222222,0.608515057113188,NA,FALSE
